,project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
748,nteract/nteract,72,@nteract/editor@ @nteract/notebook-app-component@ @nteract/transforms-full@ @nteract/kernel-relay@ @nteract/logos@ @nteract/styles@ @nteract/nbextension@ @nteract/commutable@ @nteract/transform-geojson@ @nteract/transform-vega@ @nteract/data-explorer@ @nteract/mathjax@ @nteract/connected-components@ @nteract/directory-listing@ @nteract/notebook-preview-demo@ @nteract/webpack-configurator@ nteract-on-jupyter@ @nteract/records@ @nteract/reducers@ @nteract/fs-kernels@ @mybinder/host-cache@ @nteract/monaco-editor@ @nteract/types@ @nteract/notebook-render@ @nteract/transform-vdom@ @nteract/mockument@ @nteract/commutable-v fs-observable@ @nteract/dev-scripts@ @nteract/epics@ enchannel@ @nteract/notebook-preview@ @nteract/markdown@ @nteract/commuter@ @nteract/commuter-frontend@ @nteract/dropdown-menu@ @nteract/notebook-on-next@ @nteract/selectors@ ansi-to-react@ @nteract/actions@ @nteract/core@ @nteract/mythic-configuration@ rx-binder@ @nteract/presentational-components@ @nteract/display-area@ @nteract/messaging@ @nteract/myths@ @nteract/styled-blueprintjsx@ @nteract/iron-icons@ @nteract/outputs@ @nteract/timeago@ @nteract/transform-model-debug@ @nteract/mythic-windowing@ @nteract/mythic-multiselect@ @nteract/transform-plotly@ @nteract/fixtures@ @nteract/mythic-notifications@ @nteract/stateful-components@ rx-jupyter@ @nteract/transforms@ @nteract/vega-embed2@ enchannel-zmq-backend@ @nteract/showcase@ @nteract/web@ @nteract/jupyter-widgets@ nteract@ @nteract/gatsby-transformer-ipynb@ v @nteract/transform-dataresource@ @nteract/octicons@ @nteract/play@ @nteract/styleguide-components@,121,7,3,2353,2474,0 days 00:00:08.150084
749,go-vgo/robotgo,2, v,21,3,7,24,45,0 days 00:00:00.070220
750,NginxProxyManager/nginx-proxy-manager,2, v,10,3,2,48,58,0 days 00:00:00.062330
751,streamlink/streamlink,1,,30,9,7,17,47,0 days 00:00:00.222814
752,HangfireIO/Hangfire,2,v. v,13,4,4,92,105,0 days 00:00:00.172163
753,isaacs/node-glob,2, v,18,0,1,102,120,0 days 00:00:00.170219
754,audacity/audacity,2,Audacity- split-,7,0,6,28,35,0 days 00:00:00.599345
755,google/tsunami-security-scanner,2, v,0,0,0,11,11,0 days 00:00:00.014786
756,tldraw/tldraw,3,@tldraw/tldraw@ @tldraw/core@ v,8,3,0,172,180,0 days 00:00:00.131186
757,aws/aws-sdk-go,4, vrelease-v v. v,48,5,2,1288,1336,0 days 00:00:02.190316
758,opencv/opencv_contrib,1,,11,0,10,26,37,0 days 00:00:00.198810
759,visionmedia/page.js,2, v,10,1,2,29,39,0 days 00:00:00.042656
760,xupefei/Locale-Emulator,2, v,13,0,3,14,27,0 days 00:00:00.027552
761,twigphp/Twig,1,v,66,29,20,139,205,0 days 00:00:00.511826
762,wappalyzer/wappalyzer,4, firefox- Firefox- v,13,1,7,100,113,0 days 00:00:00.460643
763,webdriverio/webdriverio,1,v,91,45,11,415,506,0 days 00:00:01.174292
764,facebook/proxygen,1,v,14,8,0,270,284,0 days 00:00:00.821308
765,prometheus/node_exporter,2, v,17,0,12,11,28,0 days 00:00:00.098376
766,numba/numba,2, v,54,9,8,51,105,0 days 00:00:01.276042
767,vesoft-inc/nebula,1,v,7,0,4,6,13,0 days 00:00:00.198957
768,vuejs/pinia,5, pinia@ @pinia/testing@ @pinia/nuxt@ v,6,3,2,62,68,0 days 00:00:00.096869
769,GoogleCloudPlatform/terraformer,1,,2,0,1,29,31,0 days 00:00:00.095967
770,DaveGamble/cJSON,1,v,9,5,1,36,45,0 days 00:00:00.062780
771,guzzle/psr7,1,,12,1,9,17,29,0 days 00:00:00.043370
772,ionic-team/capacitor,2, v,18,6,1,138,156,0 days 00:00:00.271167
773,metricsgraphics/metrics-graphics,3,V v. v,25,12,4,10,35,0 days 00:00:00.081948
774,doctrine/cache,2, v,17,2,7,27,44,0 days 00:00:00.056562
775,FormidableLabs/radium,1,v,17,3,1,46,63,0 days 00:00:00.072658
776,symfony/polyfill-mbstring,1,v,25,0,0,9,34,0 days 00:00:00.017756
777,react-cosmos/react-cosmos,2, v,33,6,6,41,74,0 days 00:00:00.264028
778,InsertKoinIO/koin,1,,13,5,6,33,46,0 days 00:00:00.307260
779,pyro-ppl/pyro,2, pytorch-,14,3,7,15,29,0 days 00:00:00.131870
780,altair-viz/altair,2, v,13,3,7,8,21,0 days 00:00:00.159227
781,modin-project/modin,3, Modin-v v,14,1,8,33,47,0 days 00:00:00.116893
782,duplicati/duplicati,1,,0,0,0,3,3,0 days 00:00:00.085405
783,api-platform/api-platform,2, v,8,0,6,54,62,0 days 00:00:00.061997
784,gogf/gf,1,v,14,2,4,106,120,0 days 00:00:00.457802
785,Z3Prover/z3,2,Z3- z3-,4,0,3,21,25,0 days 00:00:00.887398
786,openspug/spug,2,V v,8,2,3,34,42,0 days 00:00:00.075347
787,cryptomator/cryptomator,1,,18,7,6,73,91,0 days 00:00:00.214441
788,TykTechnologies/tyk,3, certs/v v,23,3,9,90,113,0 days 00:00:00.310473
789,oclif/oclif,1,v,59,5,1,261,320,0 days 00:00:00.197274
790,webpack/webpack-dev-server,1,v,42,14,9,70,112,0 days 00:00:00.140354
791,kelektiv/node-cron,2, v,12,1,6,23,35,0 days 00:00:00.032158
792,bigbluebutton/bigbluebutton,1,v,10,0,9,62,72,0 days 00:00:01.770505
793,mopidy/mopidy,1,v,29,6,16,38,67,0 days 00:00:00.518014
794,gotify/server,1,v,5,1,2,41,46,0 days 00:00:00.036648
795,PointCloudLibrary/pcl,1,pcl-,13,2,8,12,25,0 days 00:00:00.809374
796,krallin/tini,1,v,19,1,3,14,33,0 days 00:00:00.023218
797,facebook/litho,1,v,41,22,2,157,198,0 days 00:00:00.924646
798,Sonarr/Sonarr,1,v,44,12,4,8,52,0 days 00:00:00.499758
799,golang/mock,2, v,7,0,5,8,15,0 days 00:00:00.029207
800,lanpa/tensorboardX,1,v,15,1,8,1,16,0 days 00:00:00.027883
801,facebook/jscodeshift,2, v,11,0,5,45,56,0 days 00:00:00.040225
802,lib/pq,1,v,11,0,5,10,21,0 days 00:00:00.042399
803,Supervisor/supervisor,1,,8,1,6,22,30,0 days 00:00:00.144046
804,statsmodels/statsmodels,1,v,10,0,9,12,22,0 days 00:00:00.789594
805,LeetCode-OpenSource/vscode-leetcode,1,v,17,3,0,26,43,0 days 00:00:00.026163
806,drogonframework/drogon,1,v,8,5,0,7,15,0 days 00:00:00.077666
807,playcanvas/engine,4, b v. v,258,151,3,521,779,0 days 00:00:01.619047
808,sosedoff/pgweb,1,v,11,6,3,31,42,0 days 00:00:00.096652
809,dc-js/dc.js,4, temporary_filter_fix_v mks_patch_v v,26,11,7,63,89,0 days 00:00:00.318532
810,tinacms/tinacms,66,@tinacms/react-core@ @tinacms/react-forms@ @tinacms/styles@ @tinacms/react-tinacms@ @tinacms/react-tinacms-remark@ tina-tailwind-sidebar-demo@ demo-cra@ @tinacms/react-modals@ react-tinacms-inline@ gatsby-tinacms-json@ react-tinacms-strapi@ @tinacms/toolkit@ demo-next@ @tinacms/sharedctx@ @tinacms/gatsby-tinacms-git@ cms-scripts@ react-tinacms@ react-dismissible@ gatsby-tinacms-teams@ @tinacms/scripts@ gatsby-tinacms-remark@ nextjs-blog-starter@ react-tinacms-github@ @tinacms/gatsby-tinacms-json@ @tinacms/icons@ @tinacms/react-screens@ @tinacms/react-toolbar@ @tinacms/teams@ @tinacms/auth@ @tinacms/metrics@ @tinacms/git-client@ @tinacms/form-builder@ react-tinacms-blocks@ @tinacms/tinacms@ @tinacms/alerts@ @tinacms/core@ @tinacms/media@ demo-gatsby@ @tinacms/api-git@ @tinacms/fields@ gatsby-tinacms-git@ @tinacms/webpack-helpers@ next-tinacms-github@ react-tinacms-editor@ create-tina-app@ @tinacms/forms@ next-tinacms-json@ next-tinacms-cloudinary@ gatsby-plugin-tinacms@ gatsby-tinacms-mdx@ @tinacms/next-tinacms-git@ @tinacms/datalayer@ tinacms@ @tinacms/schema-tools@ @tinacms/next-tinacms-markdown@ next-tinacms-markdown@ @tinacms/starter@ tina-cloud-starter@ @tinacms/react-sidebar@ @tinacms/cli@ v @tinacms/browser-storage-client@ @tinacms/gatsby-plugin-tinacms@ react-tinacms-date@ @tinacms/react-alerts@ @tinacms/graphql@,72,21,1,1089,1161,0 days 00:00:01.953398
811,amplication/amplication,1,v,12,6,0,43,55,0 days 00:00:00.497183
812,JeffreySu/WeiXinMPSDK,2, v,4,1,2,40,44,0 days 00:00:00.617889
813,primer/octicons,6,octicons@  jekyll-octicons@ v octicons_gem@ octicons_helper@,59,18,6,47,106,0 days 00:00:00.121178
814,symfony/debug,1,v,16,2,13,354,370,0 days 00:00:00.353825
815,cerebroapp/cerebro,2, v,5,1,3,16,21,0 days 00:00:00.042245
816,sandboxie-plus/Sandboxie,2, v,11,2,4,58,69,0 days 00:00:01.400595
817,snowie2000/mactype,1,v,0,0,0,6,6,0 days 00:00:00.029946
818,TrinityCore/TrinityCore,1,TDB,74,41,22,6,80,0 days 00:00:02.882764
819,apache/cassandra,1,cassandra-,23,7,13,183,206,0 days 00:00:01.425780
820,google/agera,1,v,4,0,3,0,4,0 days 00:00:00.033886
821,winsw/winsw,1,v,21,4,10,10,31,0 days 00:00:00.049525
822,i18next/react-i18next,2, v,84,15,2,164,248,0 days 00:00:00.121165
823,fideloper/TrustedProxy,1,,13,0,6,11,24,0 days 00:00:00.046158
824,davemorrissey/subsampling-scale-image-view,1,v,13,3,4,8,21,0 days 00:00:00.040919
825,aristocratos/btop,1,v,3,0,0,35,38,0 days 00:00:00.038413
826,styled-system/styled-system,2,styled-system@ v,14,5,2,90,104,0 days 00:00:00.217436
827,hrydgard/ppsspp,1,v,20,3,14,46,66,0 days 00:00:01.629179
828,FluentValidation/FluentValidation,1,,49,11,18,60,109,0 days 00:00:00.127200
829,mysql/mysql-server,2,mysql-cluster- mysql-,6,1,4,559,565,0 days 00:00:10.656566
830,be5invis/Sarasa-Gothic,1,v,25,1,1,93,118,0 days 00:00:00.050847
831,AlessandroZ/LaZagne,2, v,14,1,3,6,20,0 days 00:00:00.259048
832,zserge/lorca,1,v,1,0,0,10,11,0 days 00:00:00.042639
833,TeamVanced/VancedManager,2, v,11,7,0,8,19,0 days 00:00:00.315276
834,hashicorp/terraform-provider-aws,1,v,226,220,1,33,259,0 days 00:00:03.139642
835,facebook/hermes,1,v,10,0,5,13,23,0 days 00:00:00.248992
836,AppImage/AppImageKit,1,,13,2,8,0,13,0 days 00:00:00.098344
837,boto/boto3,1,,24,1,4,1045,1069,0 days 00:00:01.425230
838,rocksdanister/lively,1,v,18,6,2,29,47,0 days 00:00:00.032621
839,ArduPilot/ardupilot,26,V test-release ArduSub- yuma-may CanberraUAV-OBC- phoenix-good-thermal- ArduPlane- yuma-may-flight ArduCopter-beta-apm Rover- Plane- test-tag AntennaTracker- ArduCopter- ArduCopter-stable-apm solo- AC_ AION-Orca-Alpha cellular-modem- APMrover2- ft - Copter- v AP_Periph- kraus/LastFlights_,59,21,23,254,313,0 days 00:00:03.547288
840,kedro-org/kedro,1,,5,0,4,26,31,0 days 00:00:00.135635
841,xo/usql,1,v,10,4,3,22,32,0 days 00:00:00.043254
842,terkelg/prompts,1,v,9,0,2,24,33,0 days 00:00:00.025922
843,sebastianbergmann/php-timer,1,,7,0,1,19,26,0 days 00:00:00.027371
844,gedoor/MyBookshelf,1,,0,0,0,172,172,0 days 00:00:00.415816
845,beefproject/beef,2,beef- v,1,0,0,32,33,0 days 00:00:00.173665
846,pennersr/django-allauth,1,,42,11,18,13,55,0 days 00:00:00.125453
847,evilsocket/opensnitch,1,v,4,1,2,7,11,0 days 00:00:00.066336
848,MichalLytek/type-graphql,1,v,19,11,1,18,37,0 days 00:00:00.042788
849,cjbassi/gotop,1,,9,4,0,24,33,0 days 00:00:00.029576
850,smartystreets/goconvey,2, v,7,3,3,20,27,0 days 00:00:00.065246
851,styled-components/polished,2,v. v,22,0,2,56,78,0 days 00:00:00.056540
852,ngrx/platform,2, v,35,16,5,25,60,0 days 00:00:00.086864
853,rui314/mold,1,v,5,0,1,13,18,0 days 00:00:00.154685
854,sveltejs/sapper,1,v,29,16,4,149,178,0 days 00:00:00.128242
855,fancyapps/fancybox,3, V v,5,0,0,30,35,0 days 00:00:00.026563
856,nopSolutions/nopCommerce,1,release-,29,4,20,6,35,0 days 00:00:00.642253
857,graphql-python/graphene,2,v. v,16,7,5,29,45,0 days 00:00:00.079358
858,pytube/pytube,2, v,31,10,7,78,109,0 days 00:00:00.282851
859,inorganik/countUp.js,2, v,13,1,5,26,39,0 days 00:00:00.038048
860,angular/angularfire,2, v,11,0,2,28,39,0 days 00:00:00.069712
861,chrisvfritz/prerender-spa-plugin,2, v,10,1,2,1,11,0 days 00:00:00.015233
862,barteksc/AndroidPdfViewer,1,,14,1,1,8,22,0 days 00:00:00.018622
863,Jackett/Jackett,1,v,5,3,0,1800,1805,0 days 00:00:06.464313
864,offensive-security/exploitdb,0,,0,0,0,0,0,0 days 00:00:00.140047
865,flannel-io/flannel,1,v,18,0,11,18,36,0 days 00:00:00.880503
866,alibaba/otter,2,otter- v,0,0,0,10,10,0 days 00:00:00.015557
867,OWASP/Amass,2, v,37,14,5,123,160,0 days 00:00:00.151165
868,FormidableLabs/urql,20,urql@ @urql/exchange-request-policy@ @urql/exchange-auth@ @urql/core@ @urql/exchange-refocus@ @urql/exchange-multipart-fetch@ @urql/storybook-addon@ @urql/storage-rn@ @urql/exchange-suspense@ @urql/introspection@ @urql/vue@ @urql/preact@ @urql/exchange-retry@ @urql/exchange-persisted-fetch@ @urql/exchange-execute@ @urql/exchange-populate@ @urql/exchange-graphcache@ next-urql@ v @urql/svelte@,39,4,2,352,391,0 days 00:00:00.505987
869,jpillora/chisel,2, v,8,0,3,21,29,0 days 00:00:00.021506
870,lz4/lz4,2,r v,18,10,2,11,29,0 days 00:00:00.117645
871,OpenVPN/openvpn,1,v,5,0,4,43,48,0 days 00:00:00.221344
872,mps-youtube/mps-youtube,1,v,1,0,0,26,27,0 days 00:00:00.084381
873,i3/i3,3, tree-pr AnyEvent-,40,1,19,22,62,0 days 00:00:01.146941
874,symfony/routing,1,v,26,2,21,441,467,0 days 00:00:00.724988
875,tektoncd/pipeline,2, v,35,31,0,55,90,0 days 00:00:00.281095
876,java-native-access/jna,2, v,26,3,18,32,58,0 days 00:00:00.366033
877,leeoniya/uPlot,1,,7,3,1,44,51,0 days 00:00:00.073823
878,lbryio/lbry-sdk,5,test-appveyor-deployment- test-release- test-daemon-release- v v.,102,70,7,152,254,0 days 00:00:00.902281
879,fail2ban/fail2ban,5, upstream/ debian/PREPATCH_TO_UPSTREAM_ debian/python sdist/,10,0,5,110,120,0 days 00:00:00.429774
880,marionettejs/backbone.marionette,1,v,32,12,9,93,125,0 days 00:00:00.196940
881,es-shims/es5-shim,1,v,19,5,4,77,96,0 days 00:00:00.071858
882,predis/predis,1,v,6,0,5,31,37,0 days 00:00:00.126339
883,ImageMagick/ImageMagick,1,,0,0,0,1,1,0 days 00:00:00.649810
884,kekingcn/kkFileView,2, v,5,1,2,5,10,0 days 00:00:00.025708
885,Zettlr/Zettlr,3, v. v,28,12,6,49,77,0 days 00:00:00.264656
886,webmozarts/assert,1,,11,0,7,3,14,0 days 00:00:00.019173
887,vaexio/vaex,16, server-v jupyter-v viz-v meta-v astro-v arrow-v distributed-v vaexpaper_v v ml-v core-v contrib-v hdf5-v ui-v graphql-v,41,7,7,177,218,0 days 00:00:00.339572
888,sebastianbergmann/diff,1,,7,0,4,11,18,0 days 00:00:00.024458
889,pillarjs/path-to-regexp,2, v,24,1,4,28,52,0 days 00:00:00.030153
890,minetest/minetest,2, sapier-,10,1,7,28,38,0 days 00:00:00.667223
891,earthly/earthly,2,vscode-syntax-highlighting-v v,6,1,3,79,85,0 days 00:00:00.106105
892,tenacityteam/tenacity,1,Audacity-,6,0,5,13,19,0 days 00:00:00.967290
893,metafizzy/flickity,1,v,10,2,5,24,34,0 days 00:00:00.040531
894,surmon-china/vue-quill-editor,1,v,6,0,1,21,27,0 days 00:00:00.018782
895,nodemcu/nodemcu-firmware,3, dev_json_ dev,4,2,0,1,5,0 days 00:00:00.039844
896,AmruthPillai/Reactive-Resume,1,v,7,4,2,24,31,0 days 00:00:00.150948
897,dexidp/dex,2,api/v v,38,15,8,25,63,0 days 00:00:00.155515
898,checkstyle/checkstyle,2,checkstyle- release,108,74,19,29,137,0 days 00:00:00.643381
899,vercel/styled-jsx,2, v,15,0,3,78,93,0 days 00:00:00.059231
900,yhirose/cpp-httplib,1,v,9,1,2,75,84,0 days 00:00:00.066539
901,ljharb/qs,1,v,25,3,7,49,74,0 days 00:00:00.054017
902,RT-Thread/rt-thread,1,v,7,0,6,21,28,0 days 00:00:00.730916
903,laravel/tinker,1,v,9,1,2,17,26,0 days 00:00:00.021140
904,google/android-classyshark,1,,15,7,2,0,15,0 days 00:00:00.031349
905,readthedocs/readthedocs.org,1,,76,52,5,152,228,0 days 00:00:01.213480
906,musescore/MuseScore,1,v,11,1,9,24,35,0 days 00:00:01.374901
907,jazzband/django-debug-toolbar,2, v,25,3,15,24,49,0 days 00:00:00.115975
908,terser/terser,3, harmony-v v,49,10,7,318,367,0 days 00:00:00.439605
909,mindsdb/mindsdb,3, v. v,48,35,0,71,119,0 days 00:00:00.414793
910,gitkraken/vscode-gitlens,2, v,45,28,4,91,136,0 days 00:00:00.201935
911,jemalloc/jemalloc,1,,22,2,13,24,46,0 days 00:00:00.147540
912,symfony/css-selector,1,v,26,3,10,434,460,0 days 00:00:00.390507
913,raineorshine/npm-check-updates,2, v,56,6,4,194,250,0 days 00:00:00.187237
914,prometheus-operator/prometheus-operator,3,pkg/apis/monitoring/v pkg/client/v v,56,35,0,97,153,0 days 00:00:00.298348
915,smallnest/rpcx,1,v,3,0,1,22,25,0 days 00:00:00.054977
916,sebastianbergmann/php-file-iterator,1,,7,1,3,27,34,0 days 00:00:00.026879
917,symfony/process,1,v,26,4,19,450,476,0 days 00:00:00.364210
918,encode/starlette,1,,19,2,4,94,113,0 days 00:00:00.071762
919,mqttjs/MQTT.js,2, v,42,8,6,109,151,0 days 00:00:00.116660
920,phar-io/version,1,,5,0,3,8,13,0 days 00:00:00.015126
921,ThreeMammals/Ocelot,1,,31,5,3,110,141,0 days 00:00:00.089264
922,tensorlayer/TensorLayer,2, v,13,0,6,52,65,0 days 00:00:00.167319
923,cython/cython,1,,19,0,16,71,90,0 days 00:00:00.836193
924,OlafenwaMoses/ImageAI,5, essentials-v models-v essential-v v,8,0,1,6,14,0 days 00:00:00.021035
925,cloudflare/cfssl,2, v,7,0,6,6,13,0 days 00:00:00.076445
926,wallabag/wallabag,1,,20,5,10,40,60,0 days 00:00:00.534403
927,developit/microbundle,2, v,15,5,5,24,39,0 days 00:00:00.192207
928,swagger-api/swagger-core,2,swagger-project- v,7,0,5,58,65,0 days 00:00:00.288678
929,kivy/python-for-android,2, v,2,0,1,10,12,0 days 00:00:00.347572
930,deepstreamIO/deepstream.io,2, v,25,5,5,98,123,0 days 00:00:00.151456
931,Turfjs/turf,2, v,23,10,3,65,88,0 days 00:00:00.159148
932,fission/fission,5, alpha nightly v buildmgr-preview-,32,8,7,30,62,0 days 00:00:00.091137
933,xmrig/xmrig,1,v,46,34,7,73,119,0 days 00:00:00.201020
934,Qihoo360/RePlugin,1,v,3,0,1,14,17,0 days 00:00:00.032340
935,sebastianbergmann/php-text-template,1,,4,0,1,9,13,0 days 00:00:00.015446
936,DevinVinson/WordPress-Plugin-Boilerplate,1,,9,4,2,5,14,0 days 00:00:00.024629
937,json-path/JsonPath,3, json-path- json-path-parent-,14,3,10,9,23,0 days 00:00:00.049234
938,monero-project/monero,1,v,19,7,7,34,53,0 days 00:00:00.803384
939,fullstorydev/grpcurl,1,v,9,0,1,11,20,0 days 00:00:00.016853
940,FullHuman/purgecss,2, v,23,8,7,20,43,0 days 00:00:00.061918
941,dotansimha/graphql-yoga,10,@graphql-yoga/node@  @graphql-yoga/core@ graphql-yoga@ @graphql-yoga/subscription@ @graphql-yoga/handler@ @graphql-yoga/common@ v @graphql-yoga/graphiql@ @graphql-yoga/render-graphiql@,39,8,1,136,175,0 days 00:00:00.110375
942,robotframework/robotframework,2, v,13,0,12,49,62,0 days 00:00:00.668665
943,Jigsaw-Code/outline-client,9,ios-v android- linux-v windows-v ios-test-xcode android-v windows- daily-travisintegrationtest macos-v,10,0,2,126,136,0 days 00:00:00.230784
944,final-form/react-final-form,2,v. v,23,7,2,47,70,0 days 00:00:00.040253
945,reach/router,1,v,5,0,2,13,18,0 days 00:00:00.021550
946,jsplumb/jsplumb,1,,28,3,14,188,216,0 days 00:00:00.527632
947,symfony/var-dumper,1,v,20,4,15,355,375,0 days 00:00:00.246397
948,google/trax,1,v,3,0,2,15,18,0 days 00:00:00.085700
949,projectstorm/react-diagrams,2, v,16,4,5,23,39,0 days 00:00:00.049047
950,fsnotify/fsnotify,1,v,7,0,3,31,38,0 days 00:00:00.033824
951,matthew-andrews/isomorphic-fetch,1,v,12,0,1,14,26,0 days 00:00:00.014664
952,uber/RIBs,2, v,5,0,2,9,14,0 days 00:00:00.031794
953,reactjs/react-modal,1,v,19,1,3,91,110,0 days 00:00:00.051980
954,PyMySQL/PyMySQL,3,pymysql-  v,9,0,8,32,41,0 days 00:00:00.061569
955,gophish/gophish,2, v,11,0,10,4,15,0 days 00:00:00.041829
956,orbitdb/orbit-db,3, dc v,7,0,3,12,19,0 days 00:00:00.066901
957,jsfiddle/togetherjs,2, v,1,0,0,12,13,0 days 00:00:00.111370
958,google/re2,0,,0,0,0,0,0,0 days 00:00:00.016497
959,spyder-ide/spyder,1,v,16,0,15,79,95,0 days 00:00:01.463323
960,reactiveui/ReactiveUI,2, v,41,16,7,181,222,0 days 00:00:00.740245
961,ffuf/ffuf,1,v,18,2,4,6,24,0 days 00:00:00.025843
962,lowlighter/metrics,1,v,44,29,0,0,44,0 days 00:00:00.127758
963,aws/aws-sdk-js,1,v,1089,18,4,301,1390,0 days 00:00:02.534538
964,daybrush/moveable,11, vue3-moveable@ svelte-moveable@ moveable-storybook@ ngx-moveable@ lit-moveable@ ngx-moveable-app@ react-moveable@ moveable@ preact-moveable@ react-compat-moveable@,23,10,4,117,140,0 days 00:00:00.107984
965,visualfc/liteide,2,x X,64,30,15,2,66,0 days 00:00:00.126635
966,rr-debugger/rr,1,,28,9,14,6,34,0 days 00:00:00.335585
967,abel533/Mapper,1,,18,6,4,33,51,0 days 00:00:00.046612
968,airbytehq/airbyte,1,v,2,0,0,2,4,0 days 00:00:00.335461
969,faisalman/ua-parser-js,2, v,6,0,1,44,50,0 days 00:00:00.168136
970,sundowndev/phoneinfoga,1,v,4,0,3,29,33,0 days 00:00:00.092392
971,trentm/node-bunyan,1,,33,4,4,81,114,0 days 00:00:00.065787
972,fluxcd/flux,4, helm- chart- v,42,13,7,124,166,0 days 00:00:00.290847
973,cosmtrek/air,1,v,5,0,0,18,23,0 days 00:00:00.022370
974,kennethreitz/records,1,v,5,3,1,6,11,0 days 00:00:00.021119
975,cockpit-project/cockpit,2, v,314,275,6,1,315,0 days 00:00:01.044705
976,taskflow/taskflow,1,v,13,3,8,1,14,0 days 00:00:00.080444
977,verlok/vanilla-lazyload,2, v,81,29,5,77,158,0 days 00:00:00.214067
978,laramies/theHarvester,3, V v,5,0,4,11,16,0 days 00:00:00.123519
979,transmission/transmission,1,,99,55,12,1,100,0 days 00:00:00.806590
980,Humanizr/Humanizer,3, V v,16,8,4,49,65,0 days 00:00:00.118905
981,brunch/brunch,1,,24,10,7,107,131,0 days 00:00:00.150255
982,spring-projects/spring-security,1,,6,0,5,35,41,0 days 00:00:00.623816
983,bigskysoftware/htmx,2, v,12,5,1,18,30,0 days 00:00:00.095601
984,gperftools/gperftools,3,google-perftools- gperftools- perftools-,38,0,4,27,65,0 days 00:00:00.062128
985,olivere/elastic,1,v,8,0,5,317,325,0 days 00:00:00.226761
986,microsoft/botframework-sdk,6, botbuilder@ NuGet Nuget v NugGet,32,9,4,67,99,0 days 00:00:00.184029
987,monkeytypegame/monkeytype,1,v,16,5,1,111,127,0 days 00:00:00.484031
988,guess-js/guess,2, v,4,1,0,42,46,0 days 00:00:00.045401
989,microsoft/DeepSpeed,1,v,6,1,3,36,42,0 days 00:00:00.073093
990,microsoft/azuredatastudio,2, v,40,25,2,89,129,0 days 00:00:00.589801
991,barry-ran/QtScrcpy,1,v,9,3,2,15,24,0 days 00:00:00.033370
992,juice-shop/juice-shop,2, v,91,56,8,101,192,0 days 00:00:00.960553
993,isl-org/Open3D,1,v,15,0,7,5,20,0 days 00:00:00.206062
994,Nuitka/Nuitka,1,,13,1,4,238,251,0 days 00:00:00.660608
995,debezium/debezium,1,v,7,0,3,21,28,0 days 00:00:00.098340
996,Sylius/Sylius,1,v,30,4,17,151,181,0 days 00:00:01.726599
997,gobuffalo/buffalo,2, v,15,2,7,107,122,0 days 00:00:00.202344
998,IvanGoncharov/graphql-voyager,0,,0,0,0,0,0,0 days 00:00:00.010574
999,filamentgroup/loadCSS,2, v,9,1,5,14,23,0 days 00:00:00.026399
1000,DylanVann/react-native-fast-image,1,v,20,1,2,90,110,0 days 00:00:00.060818
1001,microsoft/onnxruntime,2,orttraining_rc v,17,1,6,17,34,0 days 00:00:00.501265
1002,ds300/patch-package,1,v,17,1,2,40,57,0 days 00:00:00.037054
1003,ajenti/ajenti,2, v,5,2,1,123,128,0 days 00:00:00.339408
1004,AaronFeng753/Waifu2x-Extension-GUI,1,v,6,3,0,70,76,0 days 00:00:00.145622
1005,vercel/ncc,1,,31,3,1,46,77,0 days 00:00:00.041442
1006,SonarSource/sonarqube,2, latest-silver-master-#,63,13,10,74,137,0 days 00:00:01.938434
1007,BloodHoundAD/BloodHound,2, v,12,0,10,20,32,0 days 00:00:00.064119
1008,ssssssss-team/spider-flow,1,v,5,3,1,6,11,0 days 00:00:00.025026
1009,shoelace-style/shoelace,0,,0,0,0,0,0,0 days 00:00:00.015918
1010,distribution/distribution,1,v,9,0,6,11,20,0 days 00:00:00.156192
1011,Jermolene/TiddlyWiki5,1,v,2,0,1,26,28,0 days 00:00:00.654759
1012,bup/bup,2, bup-,32,14,8,6,38,0 days 00:00:00.239409
1013,kkroening/ffmpeg-python,2, v,1,0,0,12,13,0 days 00:00:00.031847
1014,rsuite/rsuite,3, github-actions. v,38,11,3,114,152,0 days 00:00:00.157167
1015,cssinjs/jss,2, v,60,20,8,86,146,0 days 00:00:00.134403
1016,needim/noty,1,v,10,1,2,37,47,0 days 00:00:00.033592
1017,whyour/qinglong,1,v,5,0,1,14,19,0 days 00:00:00.051878
1018,fontello/fontello,1,,11,0,8,7,18,0 days 00:00:00.202232
